metodo,nodos,num_de_instancia,tiempo_s,memoria_pico_MB,iteraciones,valor_objetivo
Descenso,10,25,0.0009191036224365234,157.97265625,8,11299.093247725123
HookeJeeves,10,26,0.012112140655517578,157.97265625,28,19757.579098947
Weiszfeld1,10,26,0.0026700496673583984,157.97265625,112,19757.57909894703
Descenso,10,26,0.0026612281799316406,157.97265625,60,19757.579098947
HookeJeeves,10,27,0.018071889877319336,157.97265625,36,14248.59367404889
Weiszfeld1,10,27,0.0021135807037353516,157.97265625,100,14248.59365867471
Descenso,10,27,0.00887155532836914,157.97265625,84,14248.593670820319
HookeJeeves,10,28,0.016172409057617188,157.97265625,36,21253.075107432975
Weiszfeld1,10,28,0.006159782409667969,157.97265625,348,21253.075107433015
Descenso,10,28,0.005087137222290039,157.97265625,152,21253.07510743298
HookeJeeves,10,29,0.010190248489379883,157.97265625,28,28637.589194105207
Weiszfeld1,10,29,0.0039098262786865234,157.97265625,172,28637.589194105236
Descenso,10,29,0.0036649703979492188,157.97265625,84,28637.58919410521
HookeJeeves,10,30,0.010907411575317383,157.97265625,24,25349.644431341698
Weiszfeld1,10,30,0.0022139549255371094,157.97265625,108,25349.644431341716
Descenso,10,30,0.0030672550201416016,157.97265625,76,25349.6444313417
HookeJeeves,50,1,0.011470794677734375,157.97265625,24,2279779.262877692
Weiszfeld1,50,1,0.0027446746826171875,157.97265625,144,2279779.2628776925
Descenso,50,1,0.0051004886627197266,157.97265625,64,2279779.262877692
HookeJeeves,50,2,0.01199483871459961,157.97265625,28,2592633.608079214
Weiszfeld1,50,2,0.0024535655975341797,157.97265625,120,2592633.608079214
Descenso,50,2,0.006356716156005859,157.97265625,84,2592633.608079214
HookeJeeves,50,3,0.011242389678955078,157.97265625,24,2743930.120426708
Weiszfeld1,50,3,0.0033555030822753906,157.97265625,140,2743930.120426709
Descenso,50,3,0.003947019577026367,157.97265625,64,2743930.1204267084
HookeJeeves,50,4,0.011061429977416992,157.97265625,24,2055291.2907975866
Weiszfeld1,50,4,0.003353595733642578,157.97265625,152,2055291.290797587
Descenso,50,4,0.0068798065185546875,157.97265625,64,2055291.2907975875
HookeJeeves,50,5,0.013283729553222656,157.97265625,28,2627865.8796377443
Weiszfeld1,50,5,0.002900362014770508,157.97265625,120,2627865.8796377447
Descenso,50,5,0.006294727325439453,157.97265625,76,2627865.879637745
HookeJeeves,50,6,0.012012243270874023,157.97265625,28,2448445.6296489416
Weiszfeld1,50,6,0.0028934478759765625,157.97265625,132,2448445.6296489425
Descenso,50,6,0.007850408554077148,157.97265625,76,2448445.6296489425
HookeJeeves,50,7,0.013438224792480469,157.97265625,24,2526699.1430210383
Weiszfeld1,50,7,0.002460002899169922,157.97265625,120,2526699.1430210387
Descenso,50,7,0.005017518997192383,157.97265625,60,2526699.143021038
HookeJeeves,50,8,0.011110544204711914,157.97265625,24,2417711.2033069488
Weiszfeld1,50,8,0.0022246837615966797,157.97265625,112,2417711.203306949
Descenso,50,8,0.00513458251953125,157.97265625,68,2417711.203306949
HookeJeeves,50,9,0.009355783462524414,157.97265625,24,2633101.9065471133
Weiszfeld1,50,9,0.0026259422302246094,157.97265625,136,2633101.9065471133
Descenso,50,9,0.0037145614624023438,157.97265625,60,2633101.9065471133
HookeJeeves,50,10,0.008249759674072266,157.97265625,20,2565558.6268732483
Weiszfeld1,50,10,0.0027844905853271484,157.97265625,128,2565558.626873249
Descenso,50,10,0.0033659934997558594,157.97265625,48,2565558.6268732497
HookeJeeves,50,11,0.014749765396118164,157.97265625,28,2388261.6106276903
Weiszfeld1,50,11,0.0032176971435546875,157.97265625,148,2388261.6106199627
Descenso,50,11,0.018728971481323242,157.97265625,114,2388261.610721292
HookeJeeves,50,12,0.019071102142333984,157.97265625,40,2256394.097478021
Weiszfeld1,50,12,0.003004789352416992,157.97265625,144,2256394.097478022
Descenso,50,12,0.005438327789306641,157.97265625,72,2256394.0974780223
HookeJeeves,50,13,0.013821601867675781,157.97265625,32,2448041.514556688
Weiszfeld1,50,13,0.0036056041717529297,157.97265625,192,2448041.5145566887
Descenso,50,13,0.0053517818450927734,157.97265625,84,2448041.5145566883
HookeJeeves,50,14,0.010737180709838867,157.97265625,24,2062136.194119851
Weiszfeld1,50,14,0.00244140625,157.97265625,124,2062136.1941198513
Descenso,50,14,0.0044062137603759766,157.97265625,64,2062136.1941198513
HookeJeeves,50,15,0.010815858840942383,157.97265625,28,2137718.3030417855
Weiszfeld1,50,15,0.0028564929962158203,157.97265625,128,2137718.303041786
Descenso,50,15,0.005696773529052734,157.97265625,84,2137718.3030417864
HookeJeeves,50,16,0.011748075485229492,157.97265625,24,2464135.025359921
Weiszfeld1,50,16,0.002465486526489258,157.97265625,128,2464135.025359922
Descenso,50,16,0.004450798034667969,157.97265625,60,2464135.0253599216
HookeJeeves,50,17,0.012764692306518555,157.97265625,28,2247286.0269141174
Weiszfeld1,50,17,0.004759073257446289,157.97265625,128,2247286.0269141174
Descenso,50,17,0.00426793098449707,157.97265625,64,2247286.026914118
HookeJeeves,50,18,0.00919651985168457,157.97265625,20,2439744.1567464177
Weiszfeld1,50,18,0.00258636474609375,157.97265625,112,2439744.1567464187
Descenso,50,18,0.005287885665893555,157.97265625,80,2439744.156746419
HookeJeeves,50,19,0.010137081146240234,157.97265625,24,2572736.9827813306
Weiszfeld1,50,19,0.0023615360260009766,157.97265625,116,2572736.9827813315
Descenso,50,19,0.004203319549560547,157.97265625,60,2572736.982781332
HookeJeeves,50,20,0.014458179473876953,157.97265625,32,2816120.6675339984
Weiszfeld1,50,20,0.0037546157836914062,157.97265625,160,2816120.6675339993
Descenso,50,20,0.0054471492767333984,157.97265625,80,2816120.667533999
HookeJeeves,50,21,0.020389080047607422,157.97265625,30,2528048.908996065
Weiszfeld1,50,21,0.003565549850463867,158.09765625,156,2528048.9089960656
Descenso,50,21,0.011257648468017578,158.09765625,72,2528048.9089960656
HookeJeeves,50,22,0.022812366485595703,158.09765625,30,2320521.2035473934
Weiszfeld1,50,22,0.004719734191894531,158.09765625,200,2320521.2035473934
Descenso,50,22,0.005524873733520508,158.09765625,92,2320521.203547393
HookeJeeves,50,23,0.016915559768676758,158.09765625,36,1937809.8006977006
Weiszfeld1,50,23,0.004896879196166992,158.09765625,256,1937809.8006977015
Descenso,50,23,0.007395029067993164,158.22265625,112,1937809.8006977008
HookeJeeves,50,24,0.01001882553100586,158.22265625,20,1976850.3430149953
Weiszfeld1,50,24,0.003517627716064453,158.22265625,180,1976850.3430149958
Descenso,50,24,0.0037910938262939453,158.22265625,60,1976850.3430149956
HookeJeeves,50,25,0.010496854782104492,158.22265625,24,1922732.9148252585
Weiszfeld1,50,25,0.002693653106689453,158.22265625,112,1922732.9148252588
Descenso,50,25,0.0023756027221679688,158.22265625,45,1922732.9148252583
HookeJeeves,50,26,0.0067293643951416016,158.22265625,16,2644447.6587069533
Weiszfeld1,50,26,0.002475738525390625,158.22265625,128,2644447.6587069537
Descenso,50,26,0.005755186080932617,158.22265625,88,2644447.6587069537
HookeJeeves,50,27,0.011962890625,158.22265625,28,2786829.5475648427
Weiszfeld1,50,27,0.002483367919921875,158.22265625,128,2786829.5475648437
Descenso,50,27,0.005746603012084961,158.22265625,80,2786829.5475648437
HookeJeeves,50,28,0.007953166961669922,158.22265625,16,1965087.7649915786
Weiszfeld1,50,28,0.002368450164794922,158.34765625,120,1965087.7649915786
Descenso,50,28,0.005177736282348633,158.34765625,72,1965087.7649915786
HookeJeeves,50,29,0.011822700500488281,158.34765625,24,2987896.0912355934
Weiszfeld1,50,29,0.0028896331787109375,158.34765625,140,2987896.091235594
Descenso,50,29,0.005656242370605469,158.34765625,84,2987896.091235594
HookeJeeves,50,30,0.01660943031311035,158.34765625,24,2010829.1714950793
Weiszfeld1,50,30,0.0023953914642333984,158.34765625,116,2010829.1714950798
Descenso,50,30,0.003476381301879883,158.34765625,48,2010829.1714950798
HookeJeeves,100,1,0.012958049774169922,158.34765625,24,17321902.06252862
Weiszfeld1,100,1,0.0025985240936279297,158.34765625,120,17321902.062528633
Descenso,100,1,0.010241270065307617,158.59765625,64,17321902.062528625
HookeJeeves,100,2,0.010285615921020508,158.59765625,20,17402699.17170751
Weiszfeld1,100,2,0.003546476364135742,158.59765625,144,17402699.17170751
Descenso,100,2,0.015427827835083008,158.59765625,100,17402699.17170751
HookeJeeves,100,3,0.027080059051513672,158.59765625,33,19929051.50693577
Weiszfeld1,100,3,0.003548860549926758,158.59765625,148,19929051.506935775
Descenso,100,3,0.01869654655456543,158.59765625,76,19929051.50693578
HookeJeeves,100,4,0.013484001159667969,158.59765625,24,18657295.440226093
Weiszfeld1,100,4,0.0028328895568847656,158.59765625,132,18657295.440226104
Descenso,100,4,0.010969161987304688,158.59765625,72,18657295.4402261
HookeJeeves,100,5,0.012407541275024414,158.59765625,24,18821675.413453035
Weiszfeld1,100,5,0.0027959346771240234,158.59765625,128,18821675.41345304
Descenso,100,5,0.011673212051391602,158.59765625,76,18821675.413453043
HookeJeeves,100,6,0.015897750854492188,158.59765625,32,19487090.417361215
Weiszfeld1,100,6,0.0022592544555664062,158.59765625,100,19487090.417361222
Descenso,100,6,0.008784770965576172,158.59765625,60,19487090.41736122
